"NE.Africa.lower2.5","NE.Africa.lower10","NE.Africa.median","NE.Africa.upper90","NE.Africa.upper97.5","NW.Africa.lower2.5","NW.Africa.lower10","NW.Africa.median","NW.Africa.upper90","NW.Africa.upper97.5","Other.Africa.lower2.5","Other.Africa.lower10","Other.Africa.median","Other.Africa.upper90","Other.Africa.upper97.5","S.Africa.lower2.5","S.Africa.lower10","S.Africa.median","S.Africa.upper90","S.Africa.upper97.5","China.and.Taiwan.lower2.5","China.and.Taiwan.lower10","China.and.Taiwan.median","China.and.Taiwan.upper90","China.and.Taiwan.upper97.5","India.lower2.5","India.lower10","India.median","India.upper90","India.upper97.5","Japan.lower2.5","Japan.lower10","Japan.median","Japan.upper90","Japan.upper97.5","Korea.lower2.5","Korea.lower10","Korea.median","Korea.upper90","Korea.upper97.5","Middle.East.lower2.5","Middle.East.lower10","Middle.East.median","Middle.East.upper90","Middle.East.upper97.5","N.Asia.lower2.5","N.Asia.lower10","N.Asia.median","N.Asia.upper90","N.Asia.upper97.5","Other.Asia.lower2.5","Other.Asia.lower10","Other.Asia.median","Other.Asia.upper90","Other.Asia.upper97.5","SE.Asia.lower2.5","SE.Asia.lower10","SE.Asia.median","SE.Asia.upper90","SE.Asia.upper97.5","British.Isles.lower2.5","British.Isles.lower10","British.Isles.median","British.Isles.upper90","British.Isles.upper97.5","Continental.Europe.lower2.5","Continental.Europe.lower10","Continental.Europe.median","Continental.Europe.upper90","Continental.Europe.upper97.5","E.Europe.lower2.5","E.Europe.lower10","E.Europe.median","E.Europe.upper90","E.Europe.upper97.5","N.Europe.lower2.5","N.Europe.lower10","N.Europe.median","N.Europe.upper90","N.Europe.upper97.5","Central.America.lower2.5","Central.America.lower10","Central.America.median","Central.America.upper90","Central.America.upper97.5","Mexico.lower2.5","Mexico.lower10","Mexico.median","Mexico.upper90","Mexico.upper97.5","Other.North.America.lower2.5","Other.North.America.lower10","Other.North.America.median","Other.North.America.upper90","Other.North.America.upper97.5","USA.and.Canada.lower2.5","USA.and.Canada.lower10","USA.and.Canada.median","USA.and.Canada.upper90","USA.and.Canada.upper97.5","Australia.lower2.5","Australia.lower10","Australia.median","Australia.upper90","Australia.upper97.5","New.Zealand.lower2.5","New.Zealand.lower10","New.Zealand.median","New.Zealand.upper90","New.Zealand.upper97.5","Brazil.lower2.5","Brazil.lower10","Brazil.median","Brazil.upper90","Brazil.upper97.5","NW.South.America.lower2.5","NW.South.America.lower10","NW.South.America.median","NW.South.America.upper90","NW.South.America.upper97.5","S.South.America.lower2.5","S.South.America.lower10","S.South.America.median","S.South.America.upper90","S.South.America.upper97.5","Global.lower2.5","Global.lower10","Global.median","Global.upper90","Global.upper97.5","year"
121391129.650135,121482669.687583,121661545.829268,121843065.26799,121945095.531508,95884811.891205,95952325.0663297,96074311.5204147,96200947.6015264,96262445.6809209,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1453537358.48637,1454032183.38466,1455082299.19128,1455998036.95163,1456484551.11302,1436382804.65372,1437022927.57491,1438396595.00098,1439685202.98578,1440501419.75996,124241639.384256,124280373.835148,124350387.703305,124424180.317184,124459235.688798,51643243.4546562,51672544.773542,51727880.1303894,51787286.8786439,51821365.6354686,283990905.26619,284323877.223175,284995288.413439,285724363.394614,286089003.64477,255704694.168909,255861891.421721,256095913.909142,256327985.20414,256455637.674223,471135226.193209,471387713.54763,471880494.139097,472375162.447491,472641526.70996,687726348.646872,687914298.645504,688294557.490683,688693056.159183,688934106.863224,73828733.6455515,73852050.0349523,73906087.6781057,73959456.4534458,73983338.3266072,532908754.926417,533104897.625119,533444550.778906,533787031.25084,533948049.028725,44459051.612697,44817395.0583367,45775998.5958188,46838951.2307536,47132988.13862,21659923.3774034,21668603.4083603,21682451.3921974,21698154.6344144,21706306.7450768,51393923.959105,51416180.3786268,51462456.1507413,51510301.046031,51538269.1850093,129495671.481814,129576579.800862,129714322.718426,129872512.033115,129956814.850866,36780133.2069846,36796147.2662431,36826392.1572692,36854271.7617979,36867637.4790516,382268110.82075,382406482.457793,382632619.245289,382870527.343109,382986317.596688,26371238.7055263,26396604.1587117,26444106.5909929,26491520.6829621,26518086.6702439,5147131.12282827,5154221.40543902,5169082.60704433,5183315.03379717,5192026.88133426,210921092.411462,210987981.123741,211110614.998075,211247053.308861,211325808.653271,144514439.907279,144568599.685007,144673258.582729,144791145.639542,144848700.868181,75336010.583237,75359209.401806,75396598.7221329,75434871.2574741,75454230.9883207,7955041915.24871,7956549705.86375,7959032247.85945,7961226573.49002,7962420535.63793,2023
122672492.1734,122950044.250914,123471655.266049,124001861.942339,124315833.859892,96620283.2415549,96819068.5453143,97168957.9604231,97529643.1797148,97735342.5013739,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1448628271.75107,1450345302.56657,1453417048.05553,1456185999.55995,1457670743.63753,1445649046.09707,1447812374.54133,1451856549.23832,1455531257.0142,1457813737.7544,123405481.900867,123512420.260985,123737584.301667,123966153.019205,124078914.307065,51420512.8132685,51510335.6758407,51676120.0035706,51869457.3267621,51956494.2695763,288702652.745931,289745789.204151,291538339.175771,293476353.230054,294499061.802147,256397643.4392,256846263.563289,257486076.989676,258135009.217167,258591011.691584,475994707.232244,476799780.393136,478319198.476826,479818803.000547,480556438.263456,691627031.460954,692288282.106548,693361879.477706,694611304.082993,695230414.852203,74242878.0712365,74330697.8879745,74492209.0355309,74661634.3011757,74734364.3126692,533633695.820039,534166295.367853,535219573.5972,536242750.648543,536704466.230729,39430773.4353736,40580421.7546777,43591059.5033658,46339787.7328106,47028060.6671205,21777329.5310667,21795771.4455596,21843204.2174949,21891297.3014024,21917918.1695647,51912074.964953,51982505.7415463,52121258.7858128,52261795.1467172,52346411.6129396,130150740.136145,130388024.844561,130798098.877794,131277150.297493,131544384.296117,36870367.3423585,36920542.9584164,37012111.2425822,37098945.0197603,37141700.47943,383787838.154149,384250124.935529,384936776.334265,385645543.989866,386027507.488971,26481202.5133197,26560340.8602982,26698418.5706252,26840033.9971234,26919477.5492063,5140395.87074023,5160112.15752399,5205679.943245,5247692.30318073,5271303.74384876,211337248.571061,211561832.102936,211928806.504233,212348753.064687,212554037.651946,145534125.24719,145701977.181241,146025165.728288,146385961.228778,146550051.542025,75525990.5656758,75598950.6880288,75711359.1433171,75832669.6599087,75882509.968455,7988385903.66099,7992449389.22256,7999834122.14435,8006424752.13198,8010067806.70834,2024
123878694.82962,124430773.941904,125280567.984226,126191394.080879,126723257.377583,97287236.5654626,97596473.8606558,98227657.4741999,98839055.2689599,99185928.4973327,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1443652933.51762,1446266608.85369,1451694989.89099,1456592876.10815,1458656135.60251,1454086388.92154,1458580731.61643,1465273485.54505,1471515625.16301,1475305959.08861,122546571.008978,122737530.620041,123136766.783519,123539034.432513,123746914.67977,51168555.1119435,51323904.151781,51623220.1621496,51969011.5837063,52106280.6330576,293333351.34845,294918764.886256,297910198.992261,301021377.793886,302559449.068668,257092839.867954,257675978.284985,258749356.8741,259851546.389412,260668443.518547,480749155.54701,482151192.289473,484808456.299177,487538320.712414,488810277.322961,695341756.587191,696397849.654129,698339079.551849,700418053.633488,701642340.681465,74578202.8070375,74763928.677696,75056140.3991105,75355123.1990636,75519365.8362925,534038221.713545,534868363.871324,536636332.182229,538446485.292683,539410349.142912,35117366.776032,37121015.6541712,42346858.870241,46088967.3603025,47114685.4441652,21867689.8160644,21910501.4696269,21995946.9910363,22086676.7286517,22129485.9149877,52429030.6607909,52544214.3549018,52781932.021967,53018071.0968003,53162750.4333639,130774533.89749,131162075.456807,131881890.947734,132689569.449353,133111212.692702,36949265.9621322,37037656.8265878,37187532.5152102,37343088.5043997,37408655.9060544,385196855.946982,386020562.626866,387328757.439141,388626941.640023,389306038.399416,26560251.9277509,26707344.4530285,26956500.3630101,27212453.1063676,27328209.2418847,5129773.16575536,5166063.24150138,5241371.45011281,5316718.7259738,5357321.92579746,211700165.540848,212081170.646502,212742936.997552,213446106.095046,213745460.646936,146504798.919603,146789696.706277,147374025.640447,148008015.041737,148334527.303299,75735833.5269398,75850487.1238486,76051368.8438265,76269991.3162049,76361738.6222291,8020329658.65551,8027935734.0291,8040372368.87806,8052188138.47171,8058998930.98973,2025
125137279.237259,125866579.732209,127064576.188186,128303113.221209,129074347.739692,97884923.3448232,98335445.0007069,99235536.2895747,100160877.857458,100640889.623932,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1438233845.88038,1442055383.67538,1450128129.22249,1457250496.39014,1460653520.43057,1463078238.0742,1468795215.76953,1478411772.35299,1487490546.98755,1492309802.35124,121650434.721113,121921161.206344,122503117.900886,123108217.232477,123404816.965643,50850947.1096554,51095640.0408088,51569640.5599799,52054862.4136283,52284094.3464177,297736696.005685,299627113.092826,304136204.891409,308597544.765602,310445800.043044,257652795.807502,258416548.030976,259866598.995634,261504833.08842,262513016.685104,485266076.567792,487430451.496985,491367296.810275,495294478.73836,497737114.733582,698618686.546963,700151543.185461,703123705.258353,706214044.637734,708065020.4502,74872363.4720901,75139301.0982579,75594421.6664446,76050033.6119778,76291875.8038229,534033990.273827,535212951.492925,537714242.841508,540297790.967,541852145.285281,32102287.5644521,34172803.1201032,41513017.5542174,46023780.8502876,47034082.1176785,21942033.438579,22005662.8138888,22141418.0678504,22270440.1299353,22343849.8129767,52934354.2342854,53087768.7847253,53432284.4912204,53775175.6041293,53998579.1897593,131345761.665442,131889207.723809,132947181.325198,134091259.450112,134664871.000773,37012546.7900218,37140081.0649391,37355050.8223068,37568630.4989913,37671229.2735429,386408018.063533,387586268.628914,389673815.507885,391664658.390939,392547244.765535,26592132.6061302,26836476.9676531,27203086.8491455,27585082.4027693,27801795.0487297,5116379.3193605,5169926.68511241,5273531.93359658,5379996.51880517,5443102.47379281,211984975.234261,212470083.595935,213506136.783593,214572526.539887,215060804.17109,147376469.545724,147795552.971602,148663457.188684,149659676.099032,150081121.414717,75910114.2068556,76083643.3356725,76385526.494815,76692877.8325784,76853745.8550792,8051656411.4751,8062915393.09866,8080341700.0819,8097568473.77005,8108266471.2879,2026
126364151.358125,127308355.383544,128852391.969635,130486584.351827,131343312.925171,98389008.0085294,99045333.2498784,100184410.421734,101372002.325912,102119625.92905,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1433073152.27408,1438000404.28206,1448890343.77694,1457971439.47683,1462843338.0365,1471360121.84661,1479154454.50448,1491455658.8504,1503414522.04397,1509008908.2689,120696129.632195,121056861.809288,121852906.637695,122669607.929847,123156043.968252,50515622.4481784,50829290.1750005,51487511.7913434,52130651.4604977,52477761.7119541,301634017.482004,304560840.205832,310213851.030531,315882218.224072,319065715.148772,258021360.403561,258990257.359964,260872349.034711,262988684.46337,264314200.119497,489483547.422859,492535108.595849,498021083.313289,503313402.381126,506582224.262181,701923411.951145,703738287.123934,707821189.442096,711743442.593038,714210464.48674,75159982.2399075,75469574.2033102,76137860.46138,76773565.1142351,77083192.79958,533741106.987287,535381752.577391,538589826.342345,542006149.370161,544269556.166212,30962053.7913661,32077342.2975348,40957672.118494,45757451.7283204,47079488.0978217,21999757.755743,22089910.4294669,22276327.1049242,22444143.1641472,22541047.9775988,53398536.8329136,53613610.3041341,54073038.1553784,54529235.4352469,54825180.5847892,131875517.936364,132556525.183427,133981525.353378,135480484.469727,136217551.207936,37082734.1502859,37225969.7571217,37511900.5444139,37786092.1010323,37923832.126913,387570474.426092,389224982.692843,391932253.879846,394696677.774068,395996747.723463,26627075.2063839,26948268.9365487,27443111.2909636,27971531.7878774,28274411.8018326,5092767.48185615,5162581.2181575,5304513.64783869,5445615.88194347,5526066.76903502,212180657.37841,212816724.691308,214242380.161056,215664575.084469,216279333.997002,148237914.873284,148806376.87602,149965669.454672,151305745.164998,151913299.148138,76045178.3988729,76278168.6018126,76697176.5585694,77121876.4034031,77342486.7557243,8083138180.11078,8096363626.35835,8120194788.24773,8143279962.22564,8156298878.62987,2027
127586572.412521,128720093.045305,130611089.131831,132711433.408998,133661969.836197,98887810.0655348,99719978.5940899,101070892.061085,102615295.445014,103434149.622527,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1426803492.02415,1433647873.00228,1447450285.90658,1458944404.96169,1464772130.71754,1479340363.8877,1488980611.16592,1504272647.6494,1519749897.37594,1526707796.90539,119718283.343653,120176258.029415,121164804.600584,122205987.145475,122896166.788894,50172233.3820831,50577936.5095321,51372829.6943856,52215503.6661647,52754453.2790287,305218323.906215,309345808.451187,316191780.316888,323321061.721047,327018234.17761,258405866.110157,259447714.821023,261799856.624531,264420592.812471,265978876.176401,494129406.181102,497893663.665663,504594130.556805,511601120.780375,515436368.847509,704735036.175994,707182148.861691,712373837.452094,717352252.286655,720235091.463204,75355979.5148119,75735641.3786425,76641839.1430667,77468515.8873829,77910931.2126134,533234049.023453,535398758.042415,539244672.291842,543567361.912021,546605594.659233,30750780.0473047,31284652.4914069,40531055.7224426,45664916.9713822,47005188.6628311,22045803.4427802,22165119.549228,22399310.0677818,22618554.6392175,22756243.4378098,53875704.5542431,54122469.8999168,54706802.3612626,55277290.1400282,55682102.3709716,132314381.164379,133194214.91206,134979257.961519,136847296.009686,137794677.427001,37134742.9180334,37312962.5090045,37656403.7383524,37996579.0369888,38164145.8709861,388577349.459997,390642526.738802,394073250.141848,397702905.672926,399786883.851136,26635995.159942,27036772.8702799,27681160.1478937,28344155.1105183,28744536.7317236,5066629.3146153,5159529.04151505,5331142.04676843,5510073.52174584,5603938.40746234,212261617.641823,213097764.349593,214901123.838904,216704530.237108,217494253.605929,148978425.034174,149740641.821404,151258794.355391,152928059.538808,153804022.834435,76163832.9838227,76470413.2405146,76993751.4128288,77549033.670033,77821905.5090069,8110265594.46826,8129722261.8296,8158779675.54568,8187787633.86904,8202250504.93067,2028
128826175.942807,130101784.608075,132385885.123658,134820337.149167,136047962.224705,99382578.1497871,100299442.237215,101923298.143295,103767268.008018,104749804.600539,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1419917778.12079,1428919670.60002,1445945924.71103,1460155566.00772,1467242000.0462,1486024199.83624,1498683544.9882,1516702028.88744,1535286700.97407,1544566467.68666,118684896.307926,119255540.975759,120455357.13721,121762633.927351,122569308.832323,49808982.8124325,50285840.8279911,51271765.8032094,52287492.6909021,52959564.0744654,308784453.546208,313878654.668285,322124027.867489,330862075.810768,336091703.423091,258600534.239458,259831052.408218,262690181.642364,265764814.980153,267607836.214328,498620531.26813,503093968.780187,511275007.332986,519951072.400862,524217822.675471,707253835.24027,710377914.096818,716684189.015735,722690820.941166,726432490.532265,75543264.6422487,75985592.3679264,77142201.9099093,78208147.8838778,78734992.2921362,532702951.520854,535134325.317815,539822625.589353,544962921.350603,548854630.173583,30466120.630107,31042808.9322684,40204941.0665114,45603734.9188471,47150211.3075613,22061840.8273984,22234367.8600937,22515092.4097564,22803455.7486653,22975907.721208,54304543.9216861,54625429.9465914,55329477.8297702,56011705.8612837,56503127.318453,132846360.163421,133851152.478012,135939149.005589,138160942.640345,139272017.074588,37160839.8192155,37386708.771387,37796827.4069822,38216123.3717095,38388053.6406299,389450942.744126,391914177.314171,396216384.238625,400666661.026714,403135550.266244,26611797.5399044,27114445.0376198,27916161.5070533,28730235.589677,29269229.8220197,5044943.1547134,5154221.5006773,5358618.51355966,5569518.327287,5681405.5419077,212277093.457288,213319823.796148,215528745.095292,217668223.047543,218680160.152595,149630289.355247,150580502.598814,152518417.807665,154579870.689224,155643199.585053,76281168.4340515,76628336.9055506,77282555.4324297,77968822.3331214,78326363.0079284,8138201378.78477,8161086391.01796,8196778466.57619,8230645110.9786,8248586795.6515,2029
130003999.606101,131531796.11532,134104913.898775,137003269.647392,138442562.738844,99838832.6881529,100851143.139798,102789628.329195,104997029.932625,105983957.235506,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1413962779.71012,1424101895.79542,1444160068.67652,1460805732.47007,1468901552.46254,1494216824.94545,1507619033.96353,1529001699.99776,1551399127.06873,1561239564.6039,117609227.926236,118302673.140977,119762172.955675,121314564.462458,122271786.771577,49441936.3197465,49987470.6246082,51153171.5327901,52346606.1803303,53170630.8733553,312635283.133182,318240419.889398,328165659.001472,338756199.995696,344933260.453783,258687806.687424,260182883.350477,263508899.537172,267032532.200253,269349339.384313,503087329.050428,508112276.78006,517972826.824944,527987928.234607,533040439.938884,709659516.932371,713500577.943986,720977379.962704,728060712.251666,732229667.322985,75596676.321666,76270947.6539868,77656298.1308132,78952007.816214,79559850.0921642,532198030.77867,534720469.772747,540292985.280756,546398066.349568,550895755.685088,29607762.3543347,30684618.619933,39874685.9146659,45430482.542536,47144090.5722517,22091746.8347118,22290842.2207442,22623675.2493959,22973993.5855856,23192798.5566857,54755083.0036814,55127544.0313609,55948799.2090246,56752408.6799864,57357007.9055748,133151374.07271,134441016.654754,136849081.171679,139499789.40916,140802990.204374,37182716.7740709,37467317.9540087,37923483.1900798,38425432.7426269,38612220.2356885,390156410.286132,393095452.486849,398305643.337113,403753438.77801,406776620.25829,26626214.4898621,27177463.0550959,28144878.6275388,29085943.7193999,29721798.461269,5007308.94474662,5141664.17614151,5386032.3850434,5624712.79221674,5768914.62590628,212255607.136405,213465805.832959,216060591.904792,218654812.344485,219788914.032587,150207934.133364,151443437.419409,153716560.190453,156266671.014886,157561608.712198,76387100.2516837,76781260.2279673,77574651.4620445,78395053.2998337,78830037.5447718,8163058145.74571,8191368851.09016,8234240528.98933,8274111906.89755,8293399530.65574,2030
131248714.861304,132884341.389061,135870297.464083,139226961.727147,140996367.893045,100294180.899078,101353281.162832,103585575.411305,106141102.058408,107360512.900411,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1407924724.62742,1418973049.26822,1442250403.02366,1461304990.50047,1470190535.09865,1500172501.86557,1516256602.64289,1540851014.09238,1566401684.66377,1579033642.59019,116484631.749504,117358893.611556,119056927.677839,120853216.955173,122041469.927556,49042691.0635626,49654893.080251,51011173.8533808,52391130.2565662,53310493.5634984,316821593.236081,322435909.713241,334012337.141321,346547871.354733,353592046.770549,258564425.615723,260411510.184526,264329050.142818,268236862.905204,270929677.876931,507693997.617419,512915778.445111,524573942.568906,536158955.083307,542698218.195067,711981917.58098,716603736.603818,725200340.818472,733571715.148257,738181320.155628,75687093.0445775,76574523.6638185,78155617.3682954,79651342.8180583,80378977.3583052,531516598.431879,534192068.012654,540692682.083896,547797577.989922,552658085.182315,28589559.2959979,30236221.5571,39486972.9863352,45214039.5580209,47103428.9041613,22091109.9715945,22327932.2658726,22725945.6955586,23137875.8625357,23386736.2187909,55136990.0398837,55585202.612766,56556870.6115629,57502325.0969062,58196438.584993,133436443.806852,134958480.667203,137728195.644689,140846134.992363,142387095.214672,37186266.2990847,37510066.3370637,38047028.3003028,38605356.0269892,38828808.191498,390828705.026248,394252725.21637,400305525.593302,406601794.146915,410284875.649848,26607954.531552,27223525.1882662,28355096.8592716,29441543.7275519,30178093.3052007,4984981.76930874,5134670.08920426,5415331.29859744,5676797.51397456,5853047.32962524,212167117.806009,213588862.661208,216582902.940729,219568503.389466,220822588.250722,150855862.781833,152151636.983962,154879134.603804,157830805.330603,159509909.249383,76472637.0075742,76938593.5138763,77843384.8523301,78832113.9317213,79363076.2498462,8186955107.69138,8219794213.0916,8270338174.95371,8318087954.40605,8339810120.61266,2031
132449086.458418,134280704.633943,137653634.90813,141603167.776099,143680267.902407,100615906.18983,101816715.767479,104400632.300704,107237617.196207,108644545.120886,790001692,790001692,790001692,790001692,790001692,442114118,442114118,442114118,442114118,442114118,1401020363.17902,1413718649.40273,1440314058.80793,1461570621.47246,1471261962.1459,1507371837.71678,1524493387.0713,1552259855.50645,1581400061.92881,1596925690.80604,115442881.466923,116446617.238899,118394747.782184,120465086.486974,121841023.191618,48563359.0522463,49303679.4958401,50825167.4805415,52383066.6409361,53458750.8227947,320451554.395723,327002056.078458,339734704.585796,354563351.321879,362310205.084386,258629551.406635,260772225.301554,265147815.985826,269384328.495791,272236942.139565,511810386.85779,518016751.629086,531211879.859443,544338722.221797,551860029.878847,714506161.557679,719456579.142594,729249464.30976,738898015.124236,743691311.921032,75738771.4707811,76861280.8796841,78638539.2133256,80356382.7699047,81283447.0163739,530299803.935069,533784374.264224,540997043.523832,548970014.516733,554586149.55653,27594041.2228733,29767584.8934042,38991279.3553813,45116327.5298887,46977045.2023395,22112887.4724461,22363890.5807365,22825890.7910209,23294856.8106122,23577077.9665107,55513745.6978611,56044228.2353968,57163012.0048817,58219543.2696405,58991162.2102296,133870059.671703,135454218.389205,138539016.626838,142145352.358386,143859084.549521,37180952.8999943,37552417.7110621,38164396.2244776,38777671.1517068,39077617.9739495,391318835.637588,395192651.054091,402261876.511744,409803709.727399,413615883.765072,26514466.6749582,27264709.0933696,28550585.8288741,29799957.5756134,30650782.468668,4975593.87369944,5122932.15996016,5437679.92735358,5736145.01309696,5921359.0655352,212038188.111826,213649397.658729,217021406.365291,220447265.330817,221754989.715761,151375412.665275,152844642.612711,156058801.130357,159441675.433661,161265294.275725,76504183.1751532,77051933.2575139,78109578.6546391,79241353.5660834,79838884.175174,8212413573.98998,8246475586.19509,8304831091.56279,8359572338.43713,8386667763.84169,2032
